n_iterations,initial_n_cnf,initial_n_literal,avg_n_cnf,avg_n_literal,avg_n_ratio,mode_n_cnf,mode_n_literal,mode_n_ratio,median_n_cnf,median_n_literal,median_n_ratio,ratio_of_avgs,ratio_of_modes,ratio_of_medians,solve_time,result,id,heuristic,human_difficulty,avg_human_solve_time,n_knowns
41,12012,26268,332.59090909090907,146.8181818181818,2.2518102474202806,256.0,128.0,2.511764705882353,332.0,149.0,2.228108108108108,2.2653250773993805,2.0,2.228187919463087,1.1311805248260498,True,diabolical_3008_26.txt,DLIS,diabolical,1560,24
27,12012,26268,366.07142857142856,157.0,2.326400470643454,352.0,160.0,2.511764705882353,364.0,157.0,2.31840311587147,2.331665150136488,2.2,2.3184713375796178,0.9135532379150391,True,diabolical_3008_26.txt,JEROSLOW_WANG,diabolical,1560,24
27,12012,26268,366.07142857142856,157.0,2.326400470643454,352.0,160.0,2.511764705882353,364.0,157.0,2.31840311587147,2.331665150136488,2.2,2.3184713375796178,0.8752174377441406,True,diabolical_3008_26.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1560,24
10,12012,26268,405.6,166.0,2.4426028944027194,386.0,162.0,2.511764705882353,405.0,166.0,2.4397590361445785,2.4433734939759035,2.382716049382716,2.4397590361445785,1.0120456218719482,True,diabolical_3008_26.txt,DLIS_negated,diabolical,1560,24
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0207839012145996,True,gentle_0709_14.txt,DLIS_negated,gentle,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8073544502258301,True,gentle_0709_14.txt,JEROSLOW_WANG,gentle,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262824058532715,True,gentle_0709_14.txt,JEROSLOW_WANG_TWO_SIDED,gentle,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992561340332031,True,gentle_0709_14.txt,DLCS,gentle,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0124478340148926,True,gentle_0709_14.txt,RANDOM,gentle,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8258056640625,True,gentle_0709_14.txt,DLIS,gentle,840,27
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205648899078369,True,gentle_1409_15.txt,RANDOM,gentle,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626797199249268,True,gentle_1409_15.txt,DLCS,gentle,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821904182434082,True,gentle_1409_15.txt,DLIS,gentle,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8310127258300781,True,gentle_1409_15.txt,JEROSLOW_WANG,gentle,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980658769607544,True,gentle_1409_15.txt,JEROSLOW_WANG_TWO_SIDED,gentle,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708306789398193,True,gentle_1409_15.txt,DLIS_negated,gentle,900,28
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004899024963379,True,gentle_2408_12.txt,DLIS_negated,gentle,720,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966516494750977,True,gentle_2408_12.txt,JEROSLOW_WANG_TWO_SIDED,gentle,720,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8807339668273926,True,gentle_2408_12.txt,JEROSLOW_WANG,gentle,720,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8088371753692627,True,gentle_2408_12.txt,DLIS,gentle,720,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985471248626709,True,gentle_2408_12.txt,RANDOM,gentle,720,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9624862670898438,True,gentle_2408_12.txt,DLCS,gentle,720,27
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838050127029419,True,gentle_3108_14.txt,RANDOM,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807126522064209,True,gentle_3108_14.txt,DLCS,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987898588180542,True,gentle_3108_14.txt,DLIS,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100321769714355,True,gentle_3108_14.txt,JEROSLOW_WANG,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8382730484008789,True,gentle_3108_14.txt,JEROSLOW_WANG_TWO_SIDED,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8128311634063721,True,gentle_3108_14.txt,DLIS_negated,gentle,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0718395709991455,True,moderate_0109_15.txt,DLIS_negated,moderate,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533922672271729,True,moderate_0109_15.txt,JEROSLOW_WANG_TWO_SIDED,moderate,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805760383605957,True,moderate_0109_15.txt,JEROSLOW_WANG,moderate,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036252737045288,True,moderate_0109_15.txt,DLCS,moderate,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8780121803283691,True,moderate_0109_15.txt,RANDOM,moderate,900,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096362590789795,True,moderate_0109_15.txt,DLIS,moderate,900,28
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0818696022033691,True,moderate_0209_14.txt,RANDOM,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343864917755127,True,moderate_0209_14.txt,DLCS,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053544282913208,True,moderate_0209_14.txt,DLIS,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809677600860596,True,moderate_0209_14.txt,JEROSLOW_WANG,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8973784446716309,True,moderate_0209_14.txt,JEROSLOW_WANG_TWO_SIDED,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8049442768096924,True,moderate_0209_14.txt,DLIS_negated,moderate,840,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0403614044189453,True,moderate_0509_15.txt,JEROSLOW_WANG_TWO_SIDED,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837504386901855,True,moderate_0509_15.txt,DLIS_negated,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770522117614746,True,moderate_0509_15.txt,JEROSLOW_WANG,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716615676879883,True,moderate_0509_15.txt,DLIS,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032972812652588,True,moderate_0509_15.txt,DLCS,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934511661529541,True,moderate_0509_15.txt,RANDOM,moderate,900,27
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8099584579467773,True,moderate_0809_15.txt,RANDOM,moderate,900,25
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7905633449554443,True,moderate_0809_15.txt,DLCS,moderate,900,25
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8665337562561035,True,moderate_0809_15.txt,DLIS,moderate,900,25
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961153507232666,True,moderate_0809_15.txt,JEROSLOW_WANG,moderate,900,25
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977384090423584,True,moderate_0809_15.txt,JEROSLOW_WANG_TWO_SIDED,moderate,900,25
1,12013,26269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9860661029815674,True,moderate_0809_15.txt,DLIS_negated,moderate,900,25
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8659501075744629,True,moderate_0909_15.txt,DLIS_negated,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0288443565368652,True,moderate_0909_15.txt,JEROSLOW_WANG_TWO_SIDED,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967454195022583,True,moderate_0909_15.txt,JEROSLOW_WANG,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724326133728027,True,moderate_0909_15.txt,DLIS,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7954645156860352,True,moderate_0909_15.txt,DLCS,moderate,900,27
1,12015,26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489508628845215,True,moderate_0909_15.txt,RANDOM,moderate,900,27
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8153195381164551,True,moderate_1209_13.txt,RANDOM,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81557297706604,True,moderate_1209_13.txt,DLCS,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547682762145996,True,moderate_1209_13.txt,DLIS,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8598344326019287,True,moderate_1209_13.txt,JEROSLOW_WANG,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764275550842285,True,moderate_1209_13.txt,JEROSLOW_WANG_TWO_SIDED,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9614558219909668,True,moderate_1209_13.txt,DLIS_negated,moderate,780,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0538032054901123,True,moderate_1509_14.txt,DLIS_negated,moderate,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101702213287354,True,moderate_1509_14.txt,JEROSLOW_WANG_TWO_SIDED,moderate,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205081462860107,True,moderate_1509_14.txt,JEROSLOW_WANG,moderate,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7919151782989502,True,moderate_1509_14.txt,DLCS,moderate,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8368062973022461,True,moderate_1509_14.txt,RANDOM,moderate,840,28
1,12016,26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8028964996337891,True,moderate_1509_14.txt,DLIS,moderate,840,28
1,12012,26268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107420444488525,True,moderate_1609_16.txt,RANDOM,moderate,960,24
